Receptor	Ligand	Score(pK)	stdev	Best	NN#1	NN#2	NN#3	NN#4	NN#5	NN#6	NN#7	NN#8	NN#9	NN#10	NN#11	NN#12	NN#13	NN#14	NN#15	NN#16	NN#17	NN#18	NN#19	NN#20
1e1v_protein	1e1v_ligand	2.112	2.36	7.692	2.164	5.039	0.59	0.151	0.213	4.281	-1.424	2.506	0.709	3.146	-0.546	5.782	3.08	-0.353	0.259	2.804	1.813	0.681	3.642		
1e3g_protein	1e3g_ligand	8.638	1.064	10.721	8.584	8.707	7.118	9.005	9.342	9.323	7.148	8.271	8.444	6.318	9.659	8.981	10.419	8.7	8.337	9.18	7.714	8.011	10.721		
1e1x_protein	1e1x_ligand	5.031	1.493	7.204	4.069	4.743	5.962	3.923	7.188	7.204	7.055	3.645	5.698	5.467	6.997	2.488	5.677	5.499	4.592	3.868	2.081	5.367	3.699		
1e4h_protein	1e4h_ligand	3.709	4.463	15.075	5.236	-0.467	2.17	-0.775	4.462	-0.236	9.604	-3.262	4.181	2.505	3.395	2.654	-1.486	7.552	15.075	8.036	3.867	0.708	9.278		
1e2l_protein	1e2l_ligand	6.203	1.681	10.432	4.993	7.782	4.737	6.997	6.56	6.808	8.446	5.326	6.842	10.432	6.025	7.974	4.32	3.635	6.948	5.542	4.071	4.7	5.208		
1e2k_protein	1e2k_ligand	6.466	1.751	9.668	7.823	9.065	6.1	5.165	6.471	7.184	7.35	6.528	7.327	9.668	6.143	6.011	4.339	6.224	3.074	5.483	9.082	5.573	3.345		
1e5j_protein	1e5j_ligand	3.004	2.718	7.867	1.305	7.466	2.535	1.04	2.905	-0.531	4.835	5.436	-0.032	3.045	1.327	7.867	0.061	-2.235	2.28	3.838	4.947	2.961	6.585		
1eb2_protein	1eb2_ligand	6.779	1.442	10.592	10.592	6.011	5.349	7.835	7.167	5.878	5.486	7.475	6.493	3.715	6.866	5.755	6.604	6.841	8.733	7.034	5.965	7.539	8.163		
1ebw_protein	1ebw_ligand	8.901	0.485	9.948	9.067	9.103	9.164	8.581	8.759	8.278	8.448	8.671	8.07	8.84	8.741	9.391	9.948	9.46	8.065	8.661	9.25	9.293	8.941		
1eby_protein	1eby_ligand	8.735	1.489	10.915	10.915	5.764	9.58	8.087	9.426	9.834	8.871	6.808	9.099	10.459	8.273	9.893	9.888	7.221	8.681	8.649	9.447	10.577	5.963		
1ebz_protein	1ebz_ligand	9.342	2.036	16.922	10.569	8.288	9.796	8.712	8.224	8.47	9.077	6.087	8.413	9.308	9.11	9.697	9.918	9.949	8.528	8.807	7.745	9.764	9.446		
1ec1_protein	1ec1_ligand	9.225	2.016	13.382	9.037	7.187	4.189	9.226	9.103	9.49	9.644	11.765	7.837	6.076	9.188	8.923	11.166	10.916	8.616	9.22	13.382	9.894	8.474		
1ec3_protein	1ec3_ligand	9.132	0.815	10.982	9.384	9.919	8.513	7.789	8.07	9.611	8.752	8.617	9.637	7.82	9.67	8.801	9.899	10.019	9.371	9.622	8.661	10.982	8.8		
1ec2_protein	1ec2_ligand	8.312	1.492	10.178	8.678	9.552	9.643	7.955	6.918	7.505	5.154	8.223	7.555	10.073	9.7	6.675	9.934	5.037	8.27	8.959	8.784	10.178	8.527		
1d2e_protein	1d2e_ligand	5.126	1.958	8.301	4.844	5.037	5.065	4.094	5.653	3.695	-0.43	7.07	6.321	7.151	4.786	5.952	4.33	2.923	5.441	3.577	8.231	5.793	8.301		
1ec0_protein	1ec0_ligand	8.666	1.744	13.069	8.156	6.63	7.2	8.087	10.298	13.069	8.752	8.351	8.642	10.296	11.077	9.074	7.76	7.762	5.728	9.002	8.947	10.546	6.555		
1duv_protein	1duv_ligand	7.387	3.946	14.83	10.786	2.856	-1.237	3.972	9.012	7.099	14.83	7.231	12.485	9.248	8.445	8.204	7.441	9.1	5.245	9.48	1.098	12.422	5.353		
1drv_protein	1drv_ligand	6.677	1.535	11.019	5.564	7.726	5.687	7.93	7.096	5.211	7.915	6.17	5.867	7.2	9.266	5.945	6.929	11.019	5.676	5.883	6.785	5.125	5.88		
1ecv_protein	1ecv_ligand	4.48	1.239	6.085	4.67	5.1	5.439	0.697	4.096	5.414	4.887	3.845	5.073	4.742	3.505	2.153	5.281	3.971	6.085	5.382	4.82	5.283	4.742		
1efy_protein	1efy_ligand	7.724	1.506	10.816	6.027	6.985	6.936	9.009	5.56	6.29	8.577	8.241	5.438	8.795	6.468	7.948	6.9	10.007	10.816	9.118	9.391	7.158	8.106		
1e66_protein	1e66_ligand	10.612	2.052	16.049	13.58	11.095	8.906	10.424	11.716	8.408	9.418	8.612	10.549	12.28	10.066	16.049	13.26	10.735	10.274	9.739	10.764	9.905	9.655		
1ejn_protein	1ejn_ligand	6.22	1.182	9.471	6.587	5.821	4.962	7.074	4.133	5.317	5.448	7.367	6.923	6.793	6.091	6.259	4.876	6.714	7.494	9.471	5.741	5.128	6.503		
1ela_protein	1ela_ligand	5.294	2.116	10.293	2.236	6.896	6.104	4.895	2.457	5.759	5.023	6.764	10.293	5.474	2.328	3.016	7.239	6.398	8.027	6.435	3.499	5.554	3.04		
1elb_protein	1elb_ligand	6.422	1.782	10.384	10.384	5.261	6.159	9.462	5.588	6.041	8.379	6.331	5.946	4.064	3.954	8.539	8.613	4.973	5.952	6.926	5.539	5.549	6.355		
1erb_protein	1erb_ligand	7.608	1.185	10.736	6.842	8.97	8.653	7.531	6.567	8.494	7.629	6.909	8.604	10.736	7.27	8.862	6.566	6.65	6.611	5.497	7.709	6.709	7.822		
1eld_protein	1eld_ligand	4.115	3.304	10.035	3.83	7.623	5.362	0.847	-0.159	0.348	0.023	7.417	5.405	9.492	5.341	1.055	5.933	6.956	0.02	5.121	3.758	0.005	3.884		
1ele_protein	1ele_ligand	7.679	3.027	11.048	11.048	6.169	6.632	9.638	6.533	10.814	7.56	8.955	10.999	6.897	10.345	7.996	10.962	6.532	9.024	9.123	-1.228	3.444	7.705		
1elc_protein	1elc_ligand	5.198	3.154	12.979	12.979	2.965	6.339	2.691	7.237	2.764	8.243	8.717	5.953	-1.307	3.022	1.218	7.149	3.684	5.731	4.797	4.995	7.579	6.577		
1egh_protein	1egh_ligand	4.37	1.995	7.387	5.758	2.952	-0.889	2.121	5.742	7.387	5.478	5.222	6.167	3.335	3.679	6.041	3.965	6.929	1.07	4.79	4.802	4.348	4.737		
1epo_protein	1epo_ligand	7.62	3.287	14.564	10.25	9.869	11.564	4.43	3.381	10.097	3.976	14.564	8.409	10.951	2.938	7.312	8.212	9.315	7.382	4.813	8.797	1.668	7.264		
1ez9_protein	1ez9_ligand	2.978	2.268	8.066	3.959	2.089	-0.978	4.9	0.7	2.092	1.95	3.699	5.639	2.157	5.237	1.848	2.364	-0.881	2.183	3.996	5.546	4.095	8.066		
1ezq_protein	1ezq_ligand	8.887	0.551	10.164	7.718	8.747	8.33	9.415	9.333	8.33	8.607	8.757	8.88	8.619	8.513	10.164	8.812	8.721	8.682	8.989	9.353	8.656	9.785		
1ex8_protein	1ex8_ligand	5.192	2.266	9.834	4.857	5.173	7.053	2.952	3.742	6.077	-0.457	7.107	9.834	6.912	4.59	5.947	2.21	6.621	5.494	4.784	2.622	5.516	4.952		
1f0r_protein	1f0r_ligand	7.719	1.266	11.384	6.588	5.961	7.69	7.756	8.598	7.997	7.722	7.318	7.644	11.384	8.662	5.983	8.891	7.416	7.049	7.176	7.612	8.18	8.968		
1f0s_protein	1f0s_ligand	7.609	3.304	13.55	3.486	4.7	7.387	2.771	6.079	13.55	11.041	7.071	8.577	10.225	10.139	10.542	6.277	6.133	6.526	10.017	0.157	12.017	7.891		
1f0t_protein	1f0t_ligand	5.841	1.924	10.112	5.82	6.971	4.343	5.001	4.565	5.977	4.34	4.559	5.519	2.246	2.99	6.504	6.317	6.437	9.109	10.112	7.353	8.116	6.095		
1f0u_protein	1f0u_ligand	6.626	0.902	8.679	5.626	8.679	6.551	5.881	7.512	7.041	7.195	4.848	6.322	7.077	6.06	6.801	6.894	6.618	8.301	6.57	5.976	5.819	5.872		
1f5k_protein	1f5k_ligand	3.669	0.64	4.561	2.37	4.549	3.562	4.159	3.661	3.402	3.814	3.692	3.043	3.558	2.654	3.769	4.469	2.809	3.38	3.384	4.561	4.496	3.669		
1f5l_protein	1f5l_ligand	5.353	4.001	18.393	2.14	1.591	-0.594	3.185	5.752	5.065	3.99	5.316	7.403	18.393	3.692	2.26	4.278	2.819	6.031	6.931	10.142	6.046	9.057		
1f4e_protein	1f4e_ligand	3.015	1.58	7.263	2.82	2.894	2.923	-0.047	1.21	4.018	2.657	3.263	4.945	7.263	1.753	2.625	2.909	1.27	2.754	1.836	3.966	2.65	3.517		
1f4f_protein	1f4f_ligand	4.931	2.222	11.606	5.487	3.463	6.005	-0.291	4.058	3.001	5.277	5.549	11.606	4.837	3.083	4.983	6.63	3.603	5.836	6.393	3.732	5.654	5.281		
1f4x_protein	1f4x_ligand	4.53	1.553	6.875	4.876	2.424	4.567	6.875	4.71	4.733	5.685	4.448	3.76	5.131	6.666	6.259	1.446	1.258	4.627	3.392	6.305	4.671	3.635		
1f4g_protein	1f4g_ligand	7.223	2.052	12.996	6.741	7.258	6.068	2.795	7.732	7.508	6.641	6.579	12.996	9.961	7.584	8.697	9.479	6.465	5.827	5.541	5.971	7.884	5.784		
1fao_protein	1fao_ligand	7.101	1.71	10.361	6.5	10.326	6.98	7.078	6.565	10.361	9.649	6.869	7.131	4.887	6.45	8.855	8.029	7.998	4.882	6.535	4.14	6.485	5.416		
1fch_protein	1fch_ligand	7.101	5.836	18.484	18.484	-1.183	4.778	6.661	1.392	6.59	1.627	14.493	3.463	18.479	2.373	8.742	1.693	7.862	4.098	2.126	6.927	11.446	6.227		
1fcx_protein	1fcx_ligand	8.183	1.694	10.247	9.935	8.866	8.882	3.367	8.259	8.336	8.38	10.247	6.435	7.783	5.191	8.664	8.651	9.755	6.828	8.092	8.017	8.14	9.908		
1fcz_protein	1fcz_ligand	8.689	0.61	10.032	8.333	10.032	9.378	7.711	8.604	9.365	8.624	8.242	9.023	8.333	8.664	8.736	8.7	7.917	8.43	7.89	9.472	8.173	9.479		
1fcy_protein	1fcy_ligand	8.586	0.868	10.219	8.692	9.769	8.979	8.458	8.679	7.148	8.413	7.901	9.109	8.516	8.35	8.65	8.626	7.576	7.447	10.219	7.382	8.137	9.651		
1fd0_protein	1fd0_ligand	8.488	1.68	11.17	9.248	7.188	9.441	4.268	9.108	11.17	8.34	8.015	8.987	7.895	4.791	8.602	8.502	9.036	8.106	10.731	8.432	8.137	10.593		
1fh7_protein	1fh7_ligand	6.006	1.423	8.301	6.525	6.809	6.979	7.018	5.733	5.323	5.472	5.561	7.721	7.893	8.301	4.012	6.686	6.077	5.41	2.371	4.343	6.117	4.891		
1fh8_protein	1fh8_ligand	4.855	1.555	7.19	4.786	7.19	6.177	4.38	2.375	3.665	3.733	3.764	6.55	6.287	5.0	3.905	6.111	6.224	4.47	3.191	3.035	6.794	2.591		
1fh9_protein	1fh9_ligand	5.444	1.841	9.609	2.321	7.272	6.261	4.21	4.721	5.671	5.348	4.263	4.98	8.367	6.98	4.544	9.609	5.169	5.903	5.972	3.565	4.745	2.096		
1ecq_protein	1ecq_ligand	6.644	4.066	18.378	3.229	4.807	6.079	7.476	14.139	11.369	4.715	5.224	4.638	5.417	18.378	8.589	6.818	6.814	3.294	3.545	4.79	3.835	8.622		
1fhd_protein	1fhd_ligand	5.372	2.325	9.563	3.681	2.324	6.183	6.168	7.705	1.491	7.552	4.136	2.95	7.939	6.075	7.561	6.887	4.875	1.211	3.884	6.36	9.563	4.02		
1fkb_protein	1fkb_ligand	7.299	1.833	9.145	8.853	6.242	8.695	4.764	7.621	7.718	5.5	8.94	7.429	9.145	8.005	4.037	2.561	7.729	8.253	8.854	6.683	8.7	8.981		
1ec9_protein	1ec9_ligand	6.507	4.03	16.751	5.698	9.672	4.739	6.79	11.631	3.941	6.147	1.917	4.142	0.163	1.593	4.601	4.567	5.321	6.654	9.861	16.751	8.3	12.808		
1fkf_protein	1fkf_ligand	7.838	1.516	9.95	8.706	6.59	8.578	8.251	9.541	8.929	4.938	9.464	7.774	5.321	7.676	8.18	4.904	7.353	8.964	8.493	6.2	7.946	8.997		
1f73_protein	1f73_ligand	3.033	2.116	7.551	3.652	0.713	7.281	3.553	2.274	1.741	3.343	0.199	5.489	5.586	1.51	7.551	1.867	0.926	1.261	1.494	1.976	3.622	4.403		
1fkg_protein	1fkg_ligand	7.841	0.87	9.499	8.126	6.691	6.66	7.744	8.091	8.487	6.774	7.861	7.963	7.212	9.31	9.499	8.338	7.632	8.13	9.056	6.502	7.742	8.112		
1fjs_protein	1fjs_ligand	9.609	0.676	10.751	10.558	9.604	9.497	9.172	9.166	8.813	8.532	9.982	9.434	9.689	9.405	10.453	9.863	10.751	9.123	9.481	8.238	9.672	10.349		
1f74_protein	1f74_ligand	2.823	1.298	6.177	3.772	3.476	4.046	3.786	1.666	3.702	1.95	0.882	3.835	2.053	1.223	1.008	3.485	1.899	1.837	2.862	2.823	6.177	3.529		
1fiv_protein	1fiv_ligand	8.96	2.604	14.434	10.084	6.147	11.109	8.423	7.838	9.204	14.434	8.668	9.383	11.378	8.263	8.352	4.567	9.885	12.352	10.31	6.618	11.105	7.735		
1fkh_protein	1fkh_ligand	8.176	0.751	9.522	7.714	7.409	8.258	8.051	8.275	9.479	7.057	7.872	8.245	8.316	9.522	9.327	7.269	8.843	8.731	8.863	7.411	7.818	7.735		
1fki_protein	1fki_ligand	6.43	1.687	9.753	7.335	7.063	3.477	7.536	7.351	5.585	7.145	8.369	6.63	7.389	6.855	7.156	3.49	3.536	7.472	5.385	4.18	6.681	9.753		
1fl3_protein	1fl3_ligand	7.137	1.292	9.187	6.678	7.77	7.786	4.481	6.064	7.921	4.123	7.278	6.77	9.012	8.152	6.292	9.187	7.23	6.545	8.357	6.515	7.707	7.905		
1fv0_protein	1fv0_ligand	5.512	2.547	9.669	4.823	5.631	5.822	-1.165	6.345	5.815	5.971	3.369	7.892	7.681	3.666	2.815	6.844	0.782	7.266	7.053	6.018	7.162	9.669		
1fpc_protein	1fpc_ligand	6.417	1.944	11.428	4.807	8.701	8.946	4.54	4.429	5.742	4.882	11.428	4.844	8.157	6.319	4.906	5.071	3.903	5.823	6.643	6.187	7.957	8.225		
1flr_protein	1flr_ligand	10.083	1.41	13.274	10.222	8.919	9.95	11.005	10.645	10.429	11.735	8.628	9.308	13.274	9.54	11.063	10.934	11.01	9.464	6.206	10.157	9.943	8.992		
1fkn_protein	1fkn_ligand	7.109	2.344	9.685	9.169	2.246	7.344	8.283	8.632	9.685	9.285	9.459	7.956	6.112	6.748	6.819	7.801	7.263	8.556	0.21	5.647	7.792	6.065		
1fm9_protein	1fm9_ligand	8.38	1.649	11.642	9.688	8.215	9.774	5.424	7.764	8.918	8.639	7.579	9.291	6.342	8.755	8.639	6.626	7.093	6.549	8.793	11.078	11.642	10.197		
1fq5_protein	1fq5_ligand	9.018	1.649	12.534	8.625	10.781	10.07	6.891	9.038	9.05	9.34	9.308	12.534	10.785	9.568	6.481	8.742	11.544	9.002	9.105	8.868	6.784	6.728		
1f8c_protein	1f8c_ligand	5.329	1.399	8.688	5.118	4.624	5.979	5.123	6.209	4.312	7.957	3.896	5.508	4.509	2.764	6.094	8.688	6.35	5.258	3.055	5.126	5.366	5.282		
1f8b_protein	1f8b_ligand	4.052	1.538	6.315	2.856	2.173	5.135	4.508	4.841	3.72	6.315	2.631	5.186	4.982	0.306	4.574	3.402	5.447	4.114	1.423	6.179	4.196	4.624		
1fzk_protein	1fzk_ligand	10.375	3.883	18.484	9.235	7.272	7.891	7.887	7.38	6.337	12.71	18.204	11.989	18.484	9.838	11.011	9.603	10.389	9.03	10.317	6.89	6.15	8.392		
1fzj_protein	1fzj_ligand	8.591	4.52	18.484	11.038	5.933	12.49	3.06	6.456	7.295	3.44	18.472	9.152	18.484	9.406	11.004	3.668	2.442	5.268	10.314	7.209	11.373	9.503		
1f8d_protein	1f8d_ligand	4.496	0.916	6.155	4.308	5.291	4.452	3.342	5.895	3.489	5.836	3.482	5.283	4.676	3.47	4.971	4.428	6.155	5.081	2.866	3.979	4.369	4.075		
1fzq_protein	1fzq_ligand	5.788	1.897	10.612	6.487	6.041	8.031	1.008	6.184	5.595	3.963	7.078	5.503	5.057	4.693	5.945	7.143	5.218	5.44	4.022	7.508	5.548	10.612		
1g2k_protein	1g2k_ligand	8.542	1.182	11.259	9.204	9.132	7.883	7.527	8.459	7.732	7.951	8.656	8.3	5.961	8.982	7.873	9.331	10.006	11.259	10.258	7.751	8.087	9.187		
1f8e_protein	1f8e_ligand	5.661	0.826	7.222	5.084	6.487	4.574	4.412	6.542	4.804	6.91	5.751	5.348	5.597	5.844	6.584	7.222	6.449	5.656	4.883	4.505	5.321	5.551		
1g3d_protein	1g3d_ligand	4.611	0.992	6.837	3.811	4.761	4.183	4.709	4.557	5.097	4.604	4.462	4.325	6.837	5.791	3.68	4.399	3.787	5.175	5.512	6.313	2.539	3.715		
1g2l_protein	1g2l_ligand	7.823	0.757	9.419	6.935	7.784	8.0	8.472	8.1	8.048	6.902	6.65	8.171	8.452	9.093	7.179	8.499	7.321	7.77	9.419	7.452	8.125	7.214		
1g3e_protein	1g3e_ligand	4.703	1.128	6.796	4.269	5.771	4.79	3.806	5.226	4.984	5.873	4.301	5.877	4.905	4.24	3.673	6.796	3.325	4.334	5.956	6.018	2.715	2.775		
1fzo_protein	1fzo_ligand	10.645	3.977	18.484	9.236	7.328	10.18	8.238	8.285	6.513	11.714	18.446	7.976	18.484	7.622	16.391	9.4	10.567	9.026	10.322	7.021	9.478	8.191		
1fzm_protein	1fzm_ligand	9.672	5.998	18.484	9.546	0.405	15.136	3.149	5.825	6.514	12.304	18.477	8.04	18.484	7.602	16.368	6.322	10.32	-3.261	5.469	12.393	11.876	9.995		
1g7f_protein	1g7f_ligand	5.733	1.118	7.243	4.683	5.659	6.192	4.387	6.403	6.324	6.578	7.243	7.232	7.24	3.758	3.899	5.055	5.384	5.523	6.628	5.712	5.64	4.224		
1g7g_protein	1g7g_ligand	5.795	1.103	8.14	8.14	5.571	5.692	6.732	6.78	6.039	5.058	5.485	5.8	5.814	4.568	6.42	6.864	6.54	5.67	4.329	3.173	5.645	4.707		
1g7v_protein	1g7v_ligand	5.447	1.887	9.53	9.53	4.71	5.415	0.731	5.323	6.086	5.793	4.493	1.673	6.322	4.263	5.937	6.799	7.148	5.573	7.261	6.059	5.426	4.305		
1g2o_protein	1g2o_ligand	7.019	2.194	10.527	7.152	8.944	7.899	6.604	8.865	7.005	5.979	4.149	6.86	8.048	7.233	6.575	10.527	1.535	10.049	7.673	3.477	8.082	4.99		
1g30_protein	1g30_ligand	6.511	0.961	8.242	4.829	6.327	4.384	8.242	6.091	5.502	6.833	7.684	5.381	7.663	7.078	6.179	6.515	7.367	6.3	6.686	7.205	6.644	6.425		
1g74_protein	1g74_ligand	4.389	2.26	8.211	3.343	2.432	5.742	6.971	6.842	0.859	4.429	4.397	5.706	6.232	0.231	4.111	8.211	1.724	6.239	1.255	6.806	5.076	3.39		
1g32_protein	1g32_ligand	6.408	1.017	7.933	5.252	5.779	4.647	6.999	5.104	5.59	7.126	7.458	7.933	7.272	7.07	6.042	7.15	7.457	6.524	6.732	7.014	4.401	5.725		
1g36_protein	1g36_ligand	7.265	1.264	9.095	7.985	7.366	9.095	6.518	6.398	8.822	6.073	8.265	7.984	8.276	5.081	6.826	5.197	7.741	6.162	9.002	8.158	8.069	5.397		
1g35_protein	1g35_ligand	7.675	1.682	10.608	9.48	4.712	7.962	9.078	9.371	7.676	8.322	8.481	7.503	10.608	8.091	6.074	6.848	8.407	5.713	8.469	8.076	8.07	3.424		
1g85_protein	1g85_ligand	4.631	1.222	6.644	5.256	6.24	5.36	4.72	5.31	4.413	4.412	3.082	2.56	4.931	2.401	5.137	3.772	5.243	6.644	5.398	4.968	2.497	5.966		
1g7q_protein	1g7q_ligand	8.519	4.491	18.484	8.227	3.773	12.491	3.541	5.207	4.213	4.847	18.467	9.942	18.484	5.454	8.161	5.483	6.525	9.389	5.814	14.695	9.447	6.299		
1gaf_protein	1gaf_ligand	7.374	3.736	15.073	12.784	10.081	5.912	9.658	5.836	3.142	5.931	4.421	15.073	7.699	3.706	4.869	11.32	1.967	6.663	3.45	4.551	7.566	13.602		
1gfy_protein	1gfy_ligand	3.009	2.989	10.538	-0.121	7.326	3.881	1.273	1.311	10.538	4.52	1.361	5.384	6.851	1.188	-0.079	0.637	0.241	-0.652	4.825	2.899	0.924	2.586		
1fo0_protein	1fo0_ligand	10.245	5.402	18.484	9.238	8.461	16.656	8.202	7.092	7.515	4.49	18.469	10.36	18.484	6.0	16.687	7.285	2.604	9.668	1.694	14.745	5.568	13.201		
1gai_protein	1gai_ligand	5.29	2.589	10.803	6.357	3.711	3.063	6.209	0.402	6.992	4.764	4.783	10.803	4.914	2.824	9.969	4.907	6.039	5.17	7.869	7.102	0.78	4.685		
1ghv_protein	1ghv_ligand	5.275	0.914	6.614	4.453	2.889	5.64	5.755	4.025	5.733	4.014	5.892	5.646	6.131	5.729	5.721	4.736	5.966	6.182	5.172	6.614	5.179	5.558		
1gar_protein	1gar_ligand	6.194	2.13	9.721	6.268	4.621	6.184	8.074	7.183	5.611	6.159	4.5	7.243	7.195	7.013	6.08	6.908	8.02	4.834	-0.518	9.721	8.061	3.766		
1ghw_protein	1ghw_ligand	6.069	1.616	10.485	7.397	4.152	3.944	4.994	6.868	6.2	5.638	4.313	6.761	7.461	5.649	6.398	5.145	7.818	5.127	7.25	10.485	4.818	4.073		
1ghz_protein	1ghz_ligand	4.868	1.273	7.897	5.451	5.454	4.057	2.44	6.034	5.605	5.756	4.396	6.037	6.089	3.983	3.6	5.029	4.986	4.672	3.109	7.897	5.205	3.253		
1gi1_protein	1gi1_ligand	5.261	1.388	7.787	5.351	5.588	6.019	2.794	6.072	6.525	6.001	4.679	7.43	6.359	7.787	3.081	5.042	5.539	5.605	2.574	4.586	4.2	5.484		
1gi7_protein	1gi7_ligand	4.842	1.281	6.629	2.491	5.072	4.282	2.755	6.454	6.227	4.955	4.36	5.927	6.411	4.365	3.731	6.11	5.648	5.195	2.956	6.629	5.381	3.807		
1gj6_protein	1gj6_ligand	7.544	1.62	10.013	4.875	5.236	6.778	8.662	8.267	8.174	8.743	7.324	8.965	6.096	8.769	9.293	7.315	8.613	9.628	5.996	7.114	6.511	4.512		
1gjc_protein	1gjc_ligand	6.714	1.928	9.529	6.308	7.315	9.188	7.496	7.369	8.613	5.297	3.341	9.529	7.45	9.002	7.389	6.44	6.721	5.963	3.361	8.081	2.994	4.856		
1gnm_protein	1gnm_ligand	6.551	1.359	9.505	7.308	4.028	9.505	4.887	5.376	6.493	9.138	4.999	6.398	6.6	6.824	6.403	7.403	6.197	8.36	5.906	6.255	6.661	5.416		
1gnn_protein	1gnn_ligand	5.695	1.015	7.253	5.151	5.378	6.295	5.596	7.161	6.725	4.703	5.041	5.713	6.595	5.337	5.917	7.253	6.3	6.332	5.347	4.322	5.945	2.886		
1gno_protein	1gno_ligand	7.818	1.385	11.43	8.531	6.359	6.323	8.151	6.657	7.664	11.43	7.635	8.404	7.284	7.809	6.61	8.786	6.741	8.613	8.949	8.818	7.512	4.968		
1gyy_protein	1gyy_ligand	3.342	2.041	7.913	1.617	2.037	7.913	6.944	4.795	5.122	2.923	2.278	4.911	1.385	0.787	2.864	3.107	-0.711	3.534	2.154	3.183	3.467	3.466		
1gyx_protein	1gyx_ligand	2.642	0.776	4.308	3.271	1.433	2.306	3.266	1.005	3.377	1.806	2.407	3.307	2.683	2.126	3.319	1.94	2.672	3.328	2.871	4.308	2.435	2.677		
1gpk_protein	1gpk_ligand	6.219	1.622	9.4	9.4	6.14	4.405	6.255	2.769	5.55	7.459	5.89	6.924	4.945	5.358	7.268	5.141	6.665	8.172	6.208	7.776	5.305	8.627		
1g98_protein	1g98_ligand	5.733	2.95	11.894	4.947	3.285	5.564	7.933	0.968	4.446	5.371	8.0	7.676	5.288	2.709	6.827	3.417	0.565	5.096	11.894	4.977	5.497	10.684		
1gx8_protein	1gx8_ligand	6.95	1.93	12.121	7.109	9.438	6.717	5.487	2.33	7.347	6.918	5.802	5.365	12.121	7.31	8.155	7.442	6.194	6.222	6.044	9.085	6.479	5.815		
1gpn_protein	1gpn_ligand	7.792	1.558	11.199	9.327	5.279	7.97	11.199	7.217	7.952	5.702	7.515	7.608	6.64	7.939	8.42	6.024	6.799	8.299	5.698	10.329	7.658	8.666		
1gwv_protein	1gwv_ligand	2.783	1.505	6.865	2.892	4.734	2.318	0.329	0.173	2.111	3.375	2.443	4.134	2.742	1.642	1.816	3.892	2.229	6.865	1.885	3.276	2.236	2.521		
1gvw_protein	1gvw_ligand	5.901	3.472	12.785	9.227	4.093	2.643	0.4	10.825	5.775	1.304	8.235	9.136	5.391	2.055	7.659	5.209	0.084	8.631	7.506	5.564	4.614	12.785		
1gvx_protein	1gvx_ligand	9.275	4.369	18.472	5.92	6.094	15.01	6.548	3.091	8.743	10.25	16.501	9.892	18.472	6.008	14.857	2.513	6.577	8.622	6.471	7.455	8.408	11.056		
1h0a_protein	1h0a_ligand	5.883	3.345	14.207	4.595	13.733	0.97	5.56	2.538	14.207	6.16	6.813	7.463	4.851	4.657	9.483	4.463	4.309	2.857	5.201	4.003	3.558	7.233		
1h4w_protein	1h4w_ligand	3.903	0.522	4.844	3.829	4.816	4.126	3.554	3.295	3.295	3.533	3.863	4.354	3.392	4.844	3.848	4.185	3.043	4.092	4.178	4.538	3.46	3.465		
1grp_protein	1grp_ligand	3.269	2.681	9.839	0.973	1.075	2.623	3.349	1.065	4.318	2.511	7.763	9.839	3.8	-0.093	7.447	0.699	-0.085	2.737	4.06	3.298	5.643	2.574		
1h6h_protein	1h6h_ligand	4.825	1.637	7.492	5.335	1.868	4.773	7.492	1.176	2.598	6.604	6.0	3.527	5.141	4.678	4.403	5.483	6.02	4.457	6.127	7.121	5.3	4.112		
1h1s_protein	1h1s_ligand	8.069	0.415	8.898	7.954	8.054	7.211	8.239	8.531	8.898	8.017	7.641	8.333	8.388	8.274	8.302	7.727	7.229	7.94	8.257	7.948	8.514	8.092		
1h5v_protein	1h5v_ligand	4.213	3.8	15.456	2.573	7.369	1.25	2.316	3.475	-0.547	7.211	7.534	3.691	3.734	4.059	6.7	-0.22	0.667	4.692	0.612	15.456	2.383	8.823		
1hbv_protein	1hbv_ligand	6.954	0.961	8.742	5.297	6.902	7.553	7.7	6.299	6.666	8.742	7.111	5.361	6.886	6.532	8.451	7.235	7.723	5.57	5.779	7.317	7.827	6.686		
1hi3_protein	1hi3_ligand	8.254	4.638	18.484	8.756	5.937	3.391	7.314	8.608	15.146	11.825	12.378	5.848	4.177	18.484	2.522	9.263	4.25	4.341	13.717	4.077	13.919	8.302		
1hi5_protein	1hi5_ligand	7.636	4.249	18.387	9.114	7.942	5.64	6.896	3.57	8.356	11.064	5.74	18.387	4.589	12.348	2.625	7.51	0.19	5.66	4.895	7.496	6.824	15.622		
1hi4_protein	1hi4_ligand	6.459	3.758	14.491	10.795	8.138	11.015	3.524	8.13	4.668	6.19	1.458	4.946	12.171	3.369	14.491	9.297	1.328	5.915	0.435	7.418	4.335	5.825		
1hii_protein	1hii_ligand	7.748	1.112	10.696	8.305	7.791	6.918	8.837	6.099	8.144	6.517	8.419	10.696	7.281	7.088	6.165	6.774	8.701	8.434	8.516	7.279	7.409	8.617		
1hih_protein	1hih_ligand	7.765	1.162	10.7	8.408	8.646	6.956	8.608	5.992	7.782	5.295	6.523	10.7	7.445	6.903	8.156	8.307	7.835	8.363	8.585	7.829	7.182	8.598		
