Receptor	Ligand	DSX_Score_pK	PCS	tors_score	sas_score	hb_scor
1m0b_protein	1m0b_ligand	-202.136	-0.179	0.000	0.000	0.000	
1lpk_protein	1lpk_ligand	-171.783	-0.197	0.000	0.000	0.000	
1loq_protein	1loq_ligand	-90.933	-0.180	0.000	0.000	0.000	
1lpz_protein	1lpz_ligand	-158.280	-0.188	0.000	0.000	0.000	
1lpg_protein	1lpg_ligand	-173.629	-0.184	0.000	0.000	0.000	
1lyb_protein	1lyb_ligand	-197.729	-0.221	0.000	0.000	0.000	
1li6_protein	1li6_ligand	-43.228	-0.218	0.000	0.000	0.000	
1m2p_protein	1m2p_ligand	-76.265	-0.159	0.000	0.000	0.000	
1lnm_protein	1lnm_ligand	-154.106	-0.232	0.000	0.000	0.000	
1lzq_protein	1lzq_ligand	-206.943	-0.190	0.000	0.000	0.000	
1lst_protein	1lst_ligand	-75.615	-0.198	0.000	0.000	0.000	
1m2r_protein	1m2r_ligand	-90.013	-0.173	0.000	0.000	0.000	
1m2q_protein	1m2q_ligand	-67.483	-0.134	0.000	0.000	0.000	
1lyx_protein	1lyx_ligand	-49.956	-0.150	0.000	0.000	0.000	
1m7i_protein	1m7i_ligand	-196.861	-0.206	0.000	0.000	0.000	
1lvu_protein	1lvu_ligand	-103.993	-0.166	0.000	0.000	0.000	
1m1b_protein	1m1b_ligand	-22.330	-0.064	0.000	0.000	0.000	
1m4h_protein	1m4h_ligand	-242.691	-0.189	0.000	0.000	0.000	
1lkl_protein	1lkl_ligand	-123.985	-0.185	0.000	0.000	0.000	
1m7y_protein	1m7y_ligand	-149.240	-0.189	0.000	0.000	0.000	
1mfi_protein	1mfi_ligand	-79.746	-0.169	0.000	0.000	0.000	
1m83_protein	1m83_ligand	-162.555	-0.177	0.000	0.000	0.000	
1mai_protein	1mai_ligand	-86.258	-0.209	0.000	0.000	0.000	
1m7d_protein	1m7d_ligand	-152.995	-0.205	0.000	0.000	0.000	
1m48_protein	1m48_ligand	-127.129	-0.201	0.000	0.000	0.000	
1mfd_protein	1mfd_ligand	-116.376	-0.211	0.000	0.000	0.000	
1met_protein	1met_ligand	-196.287	-0.205	0.000	0.000	0.000	
1mh5_protein	1mh5_ligand	-142.149	-0.187	0.000	0.000	0.000	
1mrn_protein	1mrn_ligand	-167.970	-0.149	0.000	0.000	0.000	
1msm_protein	1msm_ligand	-215.383	-0.201	0.000	0.000	0.000	
1m5w_protein	1m5w_ligand	-36.162	-0.087	0.000	0.000	0.000	
1mfa_protein	1mfa_ligand	-120.083	-0.229	0.000	0.000	0.000	
1mrs_protein	1mrs_ligand	-104.612	-0.152	0.000	0.000	0.000	
1mq6_protein	1mq6_ligand	-175.944	-0.184	0.000	0.000	0.000	
1mes_protein	1mes_ligand	-204.747	-0.217	0.000	0.000	0.000	
1m0o_protein	1m0o_ligand	-123.625	-0.165	0.000	0.000	0.000	
1m0n_protein	1m0n_ligand	-122.952	-0.151	0.000	0.000	0.000	
1m0q_protein	1m0q_ligand	-128.021	-0.173	0.000	0.000	0.000	
1mjj_protein	1mjj_ligand	-147.162	-0.202	0.000	0.000	0.000	
1mtr_protein	1mtr_ligand	-207.342	-0.217	0.000	0.000	0.000	
1n3i_protein	1n3i_ligand	-117.550	-0.192	0.000	0.000	0.000	
1n4h_protein	1n4h_ligand	-121.390	-0.217	0.000	0.000	0.000	
1mue_protein	1mue_ligand	-149.194	-0.198	0.000	0.000	0.000	
1mu6_protein	1mu6_ligand	-141.204	-0.192	0.000	0.000	0.000	
1mrw_protein	1mrw_ligand	-174.425	-0.185	0.000	0.000	0.000	
1mrx_protein	1mrx_ligand	-176.854	-0.187	0.000	0.000	0.000	
1n0s_protein	1n0s_ligand	-101.100	-0.166	0.000	0.000	0.000	
1mu8_protein	1mu8_ligand	-151.118	-0.194	0.000	0.000	0.000	
1n46_protein	1n46_ligand	-144.888	-0.177	0.000	0.000	0.000	
1msn_protein	1msn_ligand	-211.075	-0.201	0.000	0.000	0.000	
1n4k_protein	1n4k_ligand	-62.906	-0.150	0.000	0.000	0.000	
1n5r_protein	1n5r_ligand	-84.777	-0.196	0.000	0.000	0.000	
1nh0_protein	1nh0_ligand	-248.085	-0.205	0.000	0.000	0.000	
1moq_protein	1moq_ligand	-89.285	-0.178	0.000	0.000	0.000	
1mq5_protein	1mq5_ligand	-176.288	-0.184	0.000	0.000	0.000	
1nfx_protein	1nfx_ligand	-158.255	-0.195	0.000	0.000	0.000	
1nc1_protein	1nc1_ligand	-110.417	-0.150	0.000	0.000	0.000	
1nf8_protein	1nf8_ligand	-101.649	-0.190	0.000	0.000	0.000	
1nhu_protein	1nhu_ligand	-86.551	-0.201	0.000	0.000	0.000	
1nfu_protein	1nfu_ligand	-130.856	-0.171	0.000	0.000	0.000	
1nja_protein	1nja_ligand	-79.543	-0.157	0.000	0.000	0.000	
1njs_protein	1njs_ligand	-187.886	-0.201	0.000	0.000	0.000	
1njd_protein	1njd_ligand	-69.793	-0.132	0.000	0.000	0.000	
1njc_protein	1njc_ligand	-86.991	-0.162	0.000	0.000	0.000	
1nki_protein	1nki_ligand	-18.161	-0.085	0.000	0.000	0.000	
1nm6_protein	1nm6_ligand	-176.804	-0.217	0.000	0.000	0.000	
1nl9_protein	1nl9_ligand	-141.828	-0.210	0.000	0.000	0.000	
1nny_protein	1nny_ligand	-191.278	-0.202	0.000	0.000	0.000	
1nfw_protein	1nfw_ligand	-152.277	-0.200	0.000	0.000	0.000	
1nc3_protein	1nc3_ligand	-125.038	-0.176	0.000	0.000	0.000	
1nfy_protein	1nfy_ligand	-139.945	-0.178	0.000	0.000	0.000	
1no6_protein	1no6_ligand	-95.439	-0.180	0.000	0.000	0.000	
1nhz_protein	1nhz_ligand	-145.281	-0.205	0.000	0.000	0.000	
1nli_protein	1nli_ligand	-59.664	-0.171	0.000	0.000	0.000	
1nvq_protein	1nvq_ligand	-171.473	-0.218	0.000	0.000	0.000	
1nt1_protein	1nt1_ligand	-194.636	-0.230	0.000	0.000	0.000	
1nw7_protein	1nw7_ligand	-137.684	-0.223	0.000	0.000	0.000	
1nz7_protein	1nz7_ligand	-159.003	-0.190	0.000	0.000	0.000	
1o0f_protein	1o0f_ligand	-74.891	-0.166	0.000	0.000	0.000	
1nvs_protein	1nvs_ligand	-129.513	-0.201	0.000	0.000	0.000	
1n51_protein	1n51_ligand	-160.314	-0.197	0.000	0.000	0.000	
1o0h_protein	1o0h_ligand	-98.830	-0.188	0.000	0.000	0.000	
1n1m_protein	1n1m_ligand	-66.442	-0.191	0.000	0.000	0.000	
1nje_protein	1nje_ligand	-78.891	-0.152	0.000	0.000	0.000	
1o0m_protein	1o0m_ligand	-99.726	-0.197	0.000	0.000	0.000	
1np0_protein	1np0_ligand	-55.108	-0.124	0.000	0.000	0.000	
1o3l_protein	1o3l_ligand	-98.230	-0.176	0.000	0.000	0.000	
1nw5_protein	1nw5_ligand	-170.929	-0.208	0.000	0.000	0.000	
1o0n_protein	1o0n_ligand	-82.765	-0.186	0.000	0.000	0.000	
1nw4_protein	1nw4_ligand	-94.144	-0.158	0.000	0.000	0.000	
1o5a_protein	1o5a_ligand	-102.707	-0.164	0.000	0.000	0.000	
1o2z_protein	1o2z_ligand	-120.099	-0.174	0.000	0.000	0.000	
1o33_protein	1o33_ligand	-102.156	-0.200	0.000	0.000	0.000	
1o38_protein	1o38_ligand	-126.167	-0.195	0.000	0.000	0.000	
1nvr_protein	1nvr_ligand	-166.141	-0.225	0.000	0.000	0.000	
1o3d_protein	1o3d_ligand	-123.968	-0.194	0.000	0.000	0.000	
1nq7_protein	1nq7_ligand	-127.245	-0.221	0.000	0.000	0.000	
1o7o_protein	1o7o_ligand	-124.448	-0.170	0.000	0.000	0.000	
1o2h_protein	1o2h_ligand	-120.039	-0.186	0.000	0.000	0.000	
1o2q_protein	1o2q_ligand	-131.795	-0.186	0.000	0.000	0.000	
1o3i_protein	1o3i_ligand	-102.955	-0.190	0.000	0.000	0.000	
1oba_protein	1oba_ligand	-37.310	-0.210	0.000	0.000	0.000	
1o30_protein	1o30_ligand	-123.862	-0.173	0.000	0.000	0.000	
1oau_protein	1oau_ligand	-66.320	-0.129	0.000	0.000	0.000	
1oe8_protein	1oe8_ligand	-81.284	-0.196	0.000	0.000	0.000	
1o5e_protein	1o5e_ligand	-128.240	-0.182	0.000	0.000	0.000	
1od8_protein	1od8_ligand	-102.882	-0.203	0.000	0.000	0.000	
1ohr_protein	1ohr_ligand	-186.459	-0.212	0.000	0.000	0.000	
1ogz_protein	1ogz_ligand	-75.888	-0.214	0.000	0.000	0.000	
1oar_protein	1oar_ligand	-83.560	-0.133	0.000	0.000	0.000	
1o2n_protein	1o2n_ligand	-117.961	-0.172	0.000	0.000	0.000	
1o2o_protein	1o2o_ligand	-110.794	-0.164	0.000	0.000	0.000	
1ogg_protein	1ogg_ligand	-148.012	-0.185	0.000	0.000	0.000	
1odj_protein	1odj_ligand	-94.722	-0.156	0.000	0.000	0.000	
1ocq_protein	1ocq_ligand	-108.088	-0.208	0.000	0.000	0.000	
1onz_protein	1onz_ligand	-95.875	-0.186	0.000	0.000	0.000	
1ony_protein	1ony_ligand	-141.120	-0.194	0.000	0.000	0.000	
1odi_protein	1odi_ligand	-98.086	-0.165	0.000	0.000	0.000	
1owh_protein	1owh_ligand	-112.814	-0.201	0.000	0.000	0.000	
1oif_protein	1oif_ligand	-78.334	-0.209	0.000	0.000	0.000	
1oss_protein	1oss_ligand	-69.008	-0.198	0.000	0.000	0.000	
1os5_protein	1os5_ligand	-117.738	-0.204	0.000	0.000	0.000	
1olx_protein	1olx_ligand	-138.028	-0.162	0.000	0.000	0.000	
1ols_protein	1ols_ligand	-125.779	-0.160	0.000	0.000	0.000	
1ork_protein	1ork_ligand	-127.563	-0.161	0.000	0.000	0.000	
1om1_protein	1om1_ligand	-100.543	-0.180	0.000	0.000	0.000	
1oxr_protein	1oxr_ligand	-40.771	-0.132	0.000	0.000	0.000	
1owe_protein	1owe_ligand	-106.168	-0.202	0.000	0.000	0.000	
1pb9_protein	1pb9_ligand	-53.008	-0.171	0.000	0.000	0.000	
1olu_protein	1olu_ligand	-120.918	-0.174	0.000	0.000	0.000	
1oyq_protein	1oyq_ligand	-154.154	-0.209	0.000	0.000	0.000	
1ogx_protein	1ogx_ligand	-78.673	-0.204	0.000	0.000	0.000	
1pbq_protein	1pbq_ligand	-72.560	-0.172	0.000	0.000	0.000	
1p1o_protein	1p1o_ligand	-88.402	-0.180	0.000	0.000	0.000	
1ogd_protein	1ogd_ligand	-63.655	-0.177	0.000	0.000	0.000	
1phw_protein	1phw_ligand	-18.906	-0.059	0.000	0.000	0.000	
1pdz_protein	1pdz_ligand	-15.438	-0.061	0.000	0.000	0.000	
1oz0_protein	1oz0_ligand	-177.209	-0.161	0.000	0.000	0.000	
1p19_protein	1p19_ligand	-72.388	-0.150	0.000	0.000	0.000	
1pb8_protein	1pb8_ligand	-63.531	-0.208	0.000	0.000	0.000	
1pot_protein	1pot_ligand	-77.974	-0.180	0.000	0.000	0.000	
1pa9_protein	1pa9_ligand	-71.065	-0.145	0.000	0.000	0.000	
1pgp_protein	1pgp_ligand	-58.775	-0.127	0.000	0.000	0.000	
1pph_protein	1pph_ligand	-128.777	-0.212	0.000	0.000	0.000	
1ppi_protein	1ppi_ligand	-233.805	-0.196	0.000	0.000	0.000	
1pkx_protein	1pkx_ligand	-147.956	-0.169	0.000	0.000	0.000	
1pme_protein	1pme_ligand	-115.544	-0.192	0.000	0.000	0.000	
1ppk_protein	1ppk_ligand	-137.914	-0.182	0.000	0.000	0.000	
1pxo_protein	1pxo_ligand	-103.112	-0.178	0.000	0.000	0.000	
1pxn_protein	1pxn_ligand	-101.056	-0.170	0.000	0.000	0.000	
1ppc_protein	1ppc_ligand	-149.785	-0.203	0.000	0.000	0.000	
1ppm_protein	1ppm_ligand	-168.201	-0.188	0.000	0.000	0.000	
1pzi_protein	1pzi_ligand	-65.945	-0.149	0.000	0.000	0.000	
1oyt_protein	1oyt_ligand	-158.012	-0.219	0.000	0.000	0.000	
1p1n_protein	1p1n_ligand	-90.051	-0.192	0.000	0.000	0.000	
1pvn_protein	1pvn_ligand	-128.133	-0.175	0.000	0.000	0.000	
1ppl_protein	1ppl_ligand	-170.914	-0.189	0.000	0.000	0.000	
1pzp_protein	1pzp_ligand	-81.449	-0.188	0.000	0.000	0.000	
1pro_protein	1pro_ligand	-227.657	-0.221	0.000	0.000	0.000	
1pxp_protein	1pxp_ligand	-119.997	-0.207	0.000	0.000	0.000	
1q8u_protein	1q8u_ligand	-98.590	-0.194	0.000	0.000	0.000	
1q8w_protein	1q8w_ligand	-89.405	-0.188	0.000	0.000	0.000	
1q72_protein	1q72_ligand	-89.067	-0.172	0.000	0.000	0.000	
1q8t_protein	1q8t_ligand	-82.079	-0.189	0.000	0.000	0.000	
1pz5_protein	1pz5_ligand	-160.609	-0.174	0.000	0.000	0.000	
1qb1_protein	1qb1_ligand	-117.318	-0.149	0.000	0.000	0.000	
1q91_protein	1q91_ligand	-133.731	-0.210	0.000	0.000	0.000	
1q1g_protein	1q1g_ligand	-99.991	-0.158	0.000	0.000	0.000	
1qb6_protein	1qb6_ligand	-122.024	-0.184	0.000	0.000	0.000	
1qbn_protein	1qbn_ligand	-134.770	-0.187	0.000	0.000	0.000	
1qbr_protein	1qbr_ligand	-271.610	-0.219	0.000	0.000	0.000	
1qbo_protein	1qbo_ligand	-144.967	-0.199	0.000	0.000	0.000	
1q5k_protein	1q5k_ligand	-101.674	-0.201	0.000	0.000	0.000	
1q7a_protein	1q7a_ligand	-88.006	-0.189	0.000	0.000	0.000	
1qbt_protein	1qbt_ligand	-318.331	-0.222	0.000	0.000	0.000	
1pyn_protein	1pyn_ligand	-151.439	-0.189	0.000	0.000	0.000	
1qbu_protein	1qbu_ligand	-229.401	-0.240	0.000	0.000	0.000	
1pr5_protein	1pr5_ligand	-94.740	-0.170	0.000	0.000	0.000	
1qft_protein	1qft_ligand	-62.973	-0.199	0.000	0.000	0.000	
1q84_protein	1q84_ligand	-222.458	-0.185	0.000	0.000	0.000	
1qbv_protein	1qbv_ligand	-152.344	-0.218	0.000	0.000	0.000	
1qkt_protein	1qkt_ligand	-107.698	-0.226	0.000	0.000	0.000	
1ql7_protein	1ql7_ligand	-149.634	-0.191	0.000	0.000	0.000	
1qka_protein	1qka_ligand	-193.310	-0.207	0.000	0.000	0.000	
1qhc_protein	1qhc_ligand	-166.369	-0.178	0.000	0.000	0.000	
1qk3_protein	1qk3_ligand	-107.506	-0.184	0.000	0.000	0.000	
1qk4_protein	1qk4_ligand	-108.768	-0.176	0.000	0.000	0.000	
1qyg_protein	1qyg_ligand	-101.305	-0.164	0.000	0.000	0.000	
1qbs_protein	1qbs_ligand	-202.010	-0.217	0.000	0.000	0.000	
1qan_protein	1qan_ligand	-164.659	-0.197	0.000	0.000	0.000	
1rnm_protein	1rnm_ligand	-75.990	-0.178	0.000	0.000	0.000	
1qxk_protein	1qxk_ligand	-148.234	-0.185	0.000	0.000	0.000	
1qb9_protein	1qb9_ligand	-143.474	-0.196	0.000	0.000	0.000	
1qkb_protein	1qkb_ligand	-182.243	-0.224	0.000	0.000	0.000	
1rd4_protein	1rd4_ligand	-110.501	-0.167	0.000	0.000	0.000	
1r9l_protein	1r9l_ligand	-73.602	-0.216	0.000	0.000	0.000	
1rql_protein	1rql_ligand	-38.582	-0.146	0.000	0.000	0.000	
1rpf_protein	1rpf_ligand	-85.399	-0.173	0.000	0.000	0.000	
1rtf_protein	1rtf_ligand	-71.972	-0.209	0.000	0.000	0.000	
1s19_protein	1s19_ligand	-179.836	-0.245	0.000	0.000	0.000	
1sb1_protein	1sb1_ligand	-156.187	-0.191	0.000	0.000	0.000	
1rr6_protein	1rr6_ligand	-95.339	-0.172	0.000	0.000	0.000	
1rnt_protein	1rnt_ligand	-92.545	-0.163	0.000	0.000	0.000	
1qaw_protein	1qaw_ligand	-92.719	-0.190	0.000	0.000	0.000	
1sbg_protein	1sbg_ligand	-191.754	-0.219	0.000	0.000	0.000	
1rjk_protein	1rjk_ligand	-179.691	-0.232	0.000	0.000	0.000	
1sld_protein	1sld_ligand	-125.160	-0.179	0.000	0.000	0.000	
1ql9_protein	1ql9_ligand	-158.200	-0.189	0.000	0.000	0.000	
1sqa_protein	1sqa_ligand	-133.763	-0.188	0.000	0.000	0.000	
1sgu_protein	1sgu_ligand	-207.070	-0.209	0.000	0.000	0.000	
1s89_protein	1s89_ligand	-56.607	-0.151	0.000	0.000	0.000	
1sdv_protein	1sdv_ligand	-232.821	-0.220	0.000	0.000	0.000	
1rp7_protein	1rp7_ligand	-139.328	-0.167	0.000	0.000	0.000	
1siv_protein	1siv_ligand	-227.707	-0.240	0.000	0.000	0.000	
1sl3_protein	1sl3_ligand	-191.641	-0.207	0.000	0.000	0.000	
1rbp_protein	1rbp_ligand	-131.842	-0.225	0.000	0.000	0.000	
1r0p_protein	1r0p_ligand	-178.207	-0.215	0.000	0.000	0.000	
1sdu_protein	1sdu_ligand	-232.201	-0.222	0.000	0.000	0.000	
1str_protein	1str_ligand	-131.624	-0.184	0.000	0.000	0.000	
1sqo_protein	1sqo_ligand	-115.997	-0.191	0.000	0.000	0.000	
1sh9_protein	1sh9_ligand	-202.431	-0.212	0.000	0.000	0.000	
1sqt_protein	1sqt_ligand	-114.112	-0.183	0.000	0.000	0.000	
1sw2_protein	1sw2_ligand	-66.807	-0.189	0.000	0.000	0.000	
1s5z_protein	1s5z_ligand	-82.702	-0.160	0.000	0.000	0.000	
1swr_protein	1swr_ligand	-105.469	-0.199	0.000	0.000	0.000	
1t7j_protein	1t7j_ligand	-170.213	-0.205	0.000	0.000	0.000	
1sr7_protein	1sr7_ligand	-184.268	-0.217	0.000	0.000	0.000	
1syi_protein	1syi_ligand	-119.463	-0.201	0.000	0.000	0.000	
1stc_protein	1stc_ligand	-172.739	-0.217	0.000	0.000	0.000	
1ta6_protein	1ta6_ligand	-195.727	-0.228	0.000	0.000	0.000	
1t7d_protein	1t7d_ligand	-137.471	-0.199	0.000	0.000	0.000	
1ssq_protein	1ssq_ligand	-46.522	-0.201	0.000	0.000	0.000	
1t4v_protein	1t4v_ligand	-142.719	-0.216	0.000	0.000	0.000	
1sdt_protein	1sdt_ligand	-241.581	-0.222	0.000	0.000	0.000	
1t32_protein	1t32_ligand	-173.886	-0.196	0.000	0.000	0.000	
1td7_protein	1td7_ligand	-60.600	-0.145	0.000	0.000	0.000	
1tni_protein	1tni_ligand	-53.207	-0.158	0.000	0.000	0.000	
1sv3_protein	1sv3_ligand	-49.457	-0.165	0.000	0.000	0.000	
1tnh_protein	1tnh_ligand	-67.388	-0.208	0.000	0.000	0.000	
1tng_protein	1tng_ligand	-65.939	-0.227	0.000	0.000	0.000	
1thz_protein	1thz_ligand	-80.875	-0.144	0.000	0.000	0.000	
1tjp_protein	1tjp_ligand	-120.488	-0.189	0.000	0.000	0.000	
1t5f_protein	1t5f_ligand	-29.240	-0.082	0.000	0.000	0.000	
1tx7_protein	1tx7_ligand	-79.615	-0.188	0.000	0.000	0.000	
1tkb_protein	1tkb_ligand	-109.178	-0.143	0.000	0.000	0.000	
1trd_protein	1trd_ligand	-48.161	-0.142	0.000	0.000	0.000	
1tom_protein	1tom_ligand	-151.664	-0.230	0.000	0.000	0.000	
1u1b_protein	1u1b_ligand	-155.504	-0.185	0.000	0.000	0.000	
1tpw_protein	1tpw_ligand	-66.747	-0.181	0.000	0.000	0.000	
1u71_protein	1u71_ligand	-102.754	-0.171	0.000	0.000	0.000	
1u33_protein	1u33_ligand	-133.682	-0.164	0.000	0.000	0.000	
1swg_protein	1swg_ligand	-86.514	-0.194	0.000	0.000	0.000	
1srg_protein	1srg_ligand	-83.426	-0.124	0.000	0.000	0.000	
1ugx_protein	1ugx_ligand	-89.667	-0.206	0.000	0.000	0.000	
1uj5_protein	1uj5_ligand	-74.851	-0.143	0.000	0.000	0.000	
1u0g_protein	1u0g_ligand	-68.921	-0.177	0.000	0.000	0.000	
1syh_protein	1syh_ligand	-116.817	-0.203	0.000	0.000	0.000	
1tq4_protein	1tq4_ligand	-126.501	-0.172	0.000	0.000	0.000	
1uou_protein	1uou_ligand	-97.202	-0.192	0.000	0.000	0.000	
1usi_protein	1usi_ligand	-76.709	-0.157	0.000	0.000	0.000	
1usk_protein	1usk_ligand	-66.155	-0.171	0.000	0.000	0.000	
1ur9_protein	1ur9_ligand	-177.121	-0.198	0.000	0.000	0.000	
1ucn_protein	1ucn_ligand	-91.780	-0.169	0.000	0.000	0.000	
1utj_protein	1utj_ligand	-61.441	-0.203	0.000	0.000	0.000	
1ui0_protein	1ui0_ligand	-53.255	-0.171	0.000	0.000	0.000	
1utl_protein	1utl_ligand	-45.952	-0.165	0.000	0.000	0.000	
1utm_protein	1utm_ligand	-62.509	-0.222	0.000	0.000	0.000	
1uvt_protein	1uvt_ligand	-139.684	-0.190	0.000	0.000	0.000	
1ua4_protein	1ua4_ligand	-96.106	-0.153	0.000	0.000	0.000	
1uv6_protein	1uv6_ligand	-65.913	-0.178	0.000	0.000	0.000	
1tsy_protein	1tsy_ligand	-89.269	-0.171	0.000	0.000	0.000	
1uto_protein	1uto_ligand	-55.180	-0.192	0.000	0.000	0.000	
1upf_protein	1upf_ligand	-39.437	-0.159	0.000	0.000	0.000	
1u1w_protein	1u1w_ligand	-79.740	-0.183	0.000	0.000	0.000	
1tcx_protein	1tcx_ligand	-187.992	-0.223	0.000	0.000	0.000	
1uw6_protein	1uw6_ligand	-88.861	-0.203	0.000	0.000	0.000	
1v0k_protein	1v0k_ligand	-95.038	-0.195	0.000	0.000	0.000	
1v2j_protein	1v2j_ligand	-73.949	-0.205	0.000	0.000	0.000	
1uz8_protein	1uz8_ligand	-138.249	-0.201	0.000	0.000	0.000	
1uz4_protein	1uz4_ligand	-71.413	-0.180	0.000	0.000	0.000	
1v0l_protein	1v0l_ligand	-103.710	-0.223	0.000	0.000	0.000	
1uwf_protein	1uwf_ligand	-81.069	-0.197	0.000	0.000	0.000	
1utn_protein	1utn_ligand	-67.925	-0.212	0.000	0.000	0.000	
1v2n_protein	1v2n_ligand	-135.789	-0.201	0.000	0.000	0.000	
1v2o_protein	1v2o_ligand	-97.135	-0.186	0.000	0.000	0.000	
1v2t_protein	1v2t_ligand	-102.547	-0.203	0.000	0.000	0.000	
1v2r_protein	1v2r_ligand	-101.631	-0.191	0.000	0.000	0.000	
1v1j_protein	1v1j_ligand	-77.599	-0.169	0.000	0.000	0.000	
1v2s_protein	1v2s_ligand	-72.132	-0.207	0.000	0.000	0.000	
1v2u_protein	1v2u_ligand	-73.937	-0.211	0.000	0.000	0.000	
1vyf_protein	1vyf_ligand	-90.735	-0.214	0.000	0.000	0.000	
1v1m_protein	1v1m_ligand	-118.382	-0.164	0.000	0.000	0.000	
1uz1_protein	1uz1_ligand	-75.516	-0.182	0.000	0.000	0.000	
1uwt_protein	1uwt_ligand	-79.308	-0.169	0.000	0.000	0.000	
1w4p_protein	1w4p_ligand	-84.365	-0.179	0.000	0.000	0.000	
1v16_protein	1v16_ligand	-121.977	-0.171	0.000	0.000	0.000	
1v11_protein	1v11_ligand	-122.507	-0.172	0.000	0.000	0.000	
1w3l_protein	1w3l_ligand	-121.045	-0.180	0.000	0.000	0.000	
1v2w_protein	1v2w_ligand	-95.703	-0.186	0.000	0.000	0.000	
1vyg_protein	1vyg_ligand	-123.505	-0.212	0.000	0.000	0.000	
1v2k_protein	1v2k_ligand	-169.968	-0.208	0.000	0.000	0.000	
1vso_protein	1vso_ligand	-88.937	-0.204	0.000	0.000	0.000	
1w0z_protein	1w0z_ligand	-156.520	-0.213	0.000	0.000	0.000	
1w3j_protein	1w3j_ligand	-65.334	-0.175	0.000	0.000	0.000	
1vzq_protein	1vzq_ligand	-171.638	-0.210	0.000	0.000	0.000	
1uwu_protein	1uwu_ligand	-81.537	-0.172	0.000	0.000	0.000	
1v2l_protein	1v2l_ligand	-69.879	-0.204	0.000	0.000	0.000	
1w4o_protein	1w4o_ligand	-91.261	-0.189	0.000	0.000	0.000	
1w4q_protein	1w4q_ligand	-87.296	-0.164	0.000	0.000	0.000	
1w3k_protein	1w3k_ligand	-92.055	-0.177	0.000	0.000	0.000	
1w5w_protein	1w5w_ligand	-274.685	-0.212	0.000	0.000	0.000	
1w11_protein	1w11_ligand	-151.277	-0.187	0.000	0.000	0.000	
1w9u_protein	1w9u_ligand	-133.333	-0.159	0.000	0.000	0.000	
1wdn_protein	1wdn_ligand	-85.588	-0.212	0.000	0.000	0.000	
1w96_protein	1w96_ligand	-176.553	-0.230	0.000	0.000	0.000	
1w9v_protein	1w9v_ligand	-114.762	-0.173	0.000	0.000	0.000	
1wm1_protein	1wm1_ligand	-92.066	-0.188	0.000	0.000	0.000	
1w5v_protein	1w5v_ligand	-278.024	-0.216	0.000	0.000	0.000	
1w7g_protein	1w7g_ligand	-128.473	-0.169	0.000	0.000	0.000	
1wc1_protein	1wc1_ligand	-102.795	-0.153	0.000	0.000	0.000	
1w5x_protein	1w5x_ligand	-276.930	-0.210	0.000	0.000	0.000	
1x8t_protein	1x8t_ligand	-109.784	-0.147	0.000	0.000	0.000	
1xap_protein	1xap_ligand	-153.691	-0.226	0.000	0.000	0.000	
1x38_protein	1x38_ligand	-106.393	-0.170	0.000	0.000	0.000	
1x8j_protein	1x8j_ligand	-94.421	-0.259	0.000	0.000	0.000	
1wcq_protein	1wcq_ligand	-100.094	-0.199	0.000	0.000	0.000	
1x1z_protein	1x1z_ligand	-112.821	-0.176	0.000	0.000	0.000	
1w13_protein	1w13_ligand	-165.210	-0.200	0.000	0.000	0.000	
1wht_protein	1wht_ligand	-81.738	-0.174	0.000	0.000	0.000	
1x39_protein	1x39_ligand	-107.093	-0.166	0.000	0.000	0.000	
1ws4_protein	1ws4_ligand	-70.777	-0.206	0.000	0.000	0.000	
1w5y_protein	1w5y_ligand	-275.792	-0.215	0.000	0.000	0.000	
1xh4_protein	1xh4_ligand	-184.842	-0.183	0.000	0.000	0.000	
1xk5_protein	1xk5_ligand	-71.876	-0.114	0.000	0.000	0.000	
1xbo_protein	1xbo_ligand	-137.515	-0.170	0.000	0.000	0.000	
1xkk_protein	1xkk_ligand	-189.501	-0.189	0.000	0.000	0.000	
1xka_protein	1xka_ligand	-133.123	-0.174	0.000	0.000	0.000	
1wvj_protein	1wvj_ligand	-104.343	-0.180	0.000	0.000	0.000	
1xk9_protein	1xk9_ligand	-74.302	-0.136	0.000	0.000	0.000	
1xd0_protein	1xd0_ligand	-229.847	-0.197	0.000	0.000	0.000	
1xff_protein	1xff_ligand	-86.741	-0.188	0.000	0.000	0.000	
1xh9_protein	1xh9_ligand	-191.125	-0.191	0.000	0.000	0.000	
1xjd_protein	1xjd_ligand	-169.869	-0.213	0.000	0.000	0.000	
1xhy_protein	1xhy_ligand	-95.247	-0.201	0.000	0.000	0.000	
1y3x_protein	1y3x_ligand	-149.196	-0.210	0.000	0.000	0.000	
1xow_protein	1xow_ligand	-133.606	-0.233	0.000	0.000	0.000	
1xh5_protein	1xh5_ligand	-179.873	-0.182	0.000	0.000	0.000	
1xr9_protein	1xr9_ligand	-272.059	-0.187	0.000	0.000	0.000	
1xgi_protein	1xgi_ligand	-66.586	-0.139	0.000	0.000	0.000	
1yds_protein	1yds_ligand	-95.792	-0.198	0.000	0.000	0.000	
1y1z_protein	1y1z_ligand	-76.254	-0.222	0.000	0.000	0.000	
1ydr_protein	1ydr_ligand	-93.421	-0.187	0.000	0.000	0.000	
1ydk_protein	1ydk_ligand	-115.710	-0.204	0.000	0.000	0.000	
1y3v_protein	1y3v_ligand	-156.070	-0.211	0.000	0.000	0.000	
