Receptor	Ligand	XScore_Score_pK	Energy	HPScore	HMScore	HSScore
1lkk_protein	1lkk_ligand	6.150000	-8.390000	6.00	6.25	6.20	
1lhu_protein	1lhu_ligand	7.500000	-10.220000	7.68	7.75	7.06	
1lbk_protein	1lbk_ligand	5.050000	-6.880000	5.01	5.09	5.04	
1lf2_protein	1lf2_ligand	7.960000	-10.860000	7.66	8.59	7.63	
1lee_protein	1lee_ligand	8.070000	-11.010000	7.78	8.72	7.71	
1lnm_protein	1lnm_ligand	7.670000	-10.460000	7.68	7.99	7.33	
1kyv_protein	1kyv_ligand	6.730000	-9.190000	6.43	7.15	6.62	
1k1y_protein	1k1y_ligand	6.550000	-8.940000	6.57	6.74	6.34	
1lpg_protein	1lpg_ligand	7.320000	-9.980000	7.36	7.40	7.19	
1lst_protein	1lst_ligand	5.150000	-7.030000	5.17	5.35	4.94	
1lpk_protein	1lpk_ligand	7.210000	-9.830000	7.42	7.17	7.04	
1lpz_protein	1lpz_ligand	7.330000	-10.000000	7.29	7.34	7.35	
1lzq_protein	1lzq_ligand	8.330000	-11.360000	8.09	8.45	8.43	
1k27_protein	1k27_ligand	5.960000	-8.130000	6.01	6.07	5.79	
1m0b_protein	1m0b_ligand	8.310000	-11.340000	8.16	8.45	8.32	
1lyb_protein	1lyb_ligand	7.930000	-10.820000	7.34	8.61	7.85	
1loq_protein	1loq_ligand	5.780000	-7.890000	5.62	6.11	5.61	
1m2p_protein	1m2p_ligand	6.270000	-8.560000	6.31	6.61	5.89	
1m2q_protein	1m2q_ligand	6.180000	-8.420000	6.18	6.45	5.90	
1lyx_protein	1lyx_ligand	4.620000	-6.310000	4.56	4.85	4.47	
1m2r_protein	1m2r_ligand	6.370000	-8.690000	6.51	6.71	5.91	
1m48_protein	1m48_ligand	6.720000	-9.160000	6.55	7.26	6.34	
1m7d_protein	1m7d_ligand	6.360000	-8.670000	6.17	6.57	6.33	
1m4h_protein	1m4h_ligand	8.780000	-11.970000	8.51	9.12	8.69	
1mai_protein	1mai_ligand	5.010000	-6.830000	4.93	5.28	4.82	
1mes_protein	1mes_ligand	8.570000	-11.680000	8.29	9.73	7.68	
1met_protein	1met_ligand	8.660000	-11.810000	8.56	9.72	7.71	
1m7i_protein	1m7i_ligand	6.900000	-9.420000	6.69	7.18	6.85	
1mfa_protein	1mfa_ligand	5.390000	-7.350000	5.40	5.52	5.25	
1mfi_protein	1mfi_ligand	5.820000	-7.930000	5.90	6.04	5.51	
1mfd_protein	1mfd_ligand	5.510000	-7.520000	5.52	5.64	5.37	
1mh5_protein	1mh5_ligand	6.870000	-9.370000	7.13	7.06	6.41	
1mjj_protein	1mjj_ligand	6.860000	-9.350000	6.99	7.14	6.44	
1koj_protein	1koj_ligand	5.270000	-7.180000	5.21	5.51	5.08	
1mq5_protein	1mq5_ligand	7.430000	-10.140000	7.20	7.58	7.52	
1mq6_protein	1mq6_ligand	7.350000	-10.020000	7.11	7.58	7.35	
1m83_protein	1m83_ligand	7.040000	-9.610000	6.86	7.45	6.82	
1k9s_protein	1k9s_ligand	5.900000	-8.050000	5.83	6.12	5.76	
1mrw_protein	1mrw_ligand	8.600000	-11.730000	8.04	9.11	8.65	
1mrx_protein	1mrx_ligand	8.620000	-11.760000	8.16	9.03	8.67	
1msm_protein	1msm_ligand	9.130000	-12.460000	8.87	9.61	8.92	
1msn_protein	1msn_ligand	9.000000	-12.280000	8.71	9.45	8.84	
1mrn_protein	1mrn_ligand	6.880000	-9.390000	7.12	6.73	6.79	
1mrs_protein	1mrs_ligand	5.990000	-8.170000	5.98	6.24	5.74	
1mtr_protein	1mtr_ligand	8.840000	-12.060000	8.30	9.57	8.65	
1n0s_protein	1n0s_ligand	7.140000	-9.740000	6.98	7.71	6.73	
1mu6_protein	1mu6_ligand	6.280000	-8.570000	6.29	6.23	6.32	
1mu8_protein	1mu8_ligand	6.490000	-8.850000	6.49	6.36	6.61	
1m7y_protein	1m7y_ligand	6.640000	-9.060000	6.59	6.92	6.42	
1mue_protein	1mue_ligand	6.520000	-8.900000	6.49	6.53	6.56	
1n4h_protein	1n4h_ligand	7.280000	-9.930000	7.29	7.20	7.36	
1moq_protein	1moq_ligand	5.510000	-7.520000	5.41	5.78	5.35	
1n4k_protein	1n4k_ligand	4.990000	-6.810000	4.91	5.26	4.80	
1m1b_protein	1m1b_ligand	4.780000	-6.520000	4.70	5.01	4.63	
1nfu_protein	1nfu_ligand	6.820000	-9.310000	6.80	7.01	6.66	
1n46_protein	1n46_ligand	8.000000	-10.910000	8.03	8.31	7.65	
1nc1_protein	1nc1_ligand	6.310000	-8.610000	6.37	6.36	6.19	
1nc3_protein	1nc3_ligand	6.230000	-8.500000	6.12	6.49	6.08	
1nf8_protein	1nf8_ligand	6.120000	-8.340000	6.14	6.27	5.94	
1nfw_protein	1nfw_ligand	6.500000	-8.870000	6.50	6.64	6.37	
1nfx_protein	1nfx_ligand	6.620000	-9.030000	6.68	6.64	6.55	
1n3i_protein	1n3i_ligand	5.810000	-7.920000	5.85	5.96	5.60	
1nh0_protein	1nh0_ligand	8.730000	-11.910000	8.58	9.36	8.26	
1nfy_protein	1nfy_ligand	6.910000	-9.420000	6.89	7.12	6.71	
1nhz_protein	1nhz_ligand	7.870000	-10.730000	8.11	7.79	7.71	
1njs_protein	1njs_ligand	7.330000	-10.000000	7.34	7.64	7.03	
1nki_protein	1nki_ligand	4.520000	-6.170000	4.39	4.79	4.38	
1nhu_protein	1nhu_ligand	6.370000	-8.680000	5.89	7.51	5.70	
1nja_protein	1nja_ligand	5.420000	-7.390000	5.33	5.64	5.28	
1njc_protein	1njc_ligand	5.400000	-7.360000	5.35	5.55	5.29	
1nl9_protein	1nl9_ligand	6.930000	-9.450000	6.69	7.24	6.86	
1njd_protein	1njd_ligand	5.540000	-7.550000	5.45	5.73	5.43	
1nli_protein	1nli_ligand	4.830000	-6.580000	4.77	5.01	4.70	
1nje_protein	1nje_ligand	5.340000	-7.290000	5.27	5.58	5.19	
1nm6_protein	1nm6_ligand	7.630000	-10.410000	7.46	7.74	7.70	
1nq7_protein	1nq7_ligand	8.140000	-11.100000	7.89	8.56	7.97	
1no6_protein	1no6_ligand	6.610000	-9.010000	6.21	7.31	6.31	
1nny_protein	1nny_ligand	8.080000	-11.030000	7.83	8.51	7.91	
1nt1_protein	1nt1_ligand	7.750000	-10.580000	7.49	8.06	7.72	
1nvq_protein	1nvq_ligand	7.860000	-10.720000	7.75	8.41	7.42	
1n5r_protein	1n5r_ligand	5.840000	-7.970000	5.66	6.29	5.58	
1nvr_protein	1nvr_ligand	7.670000	-10.470000	7.57	8.21	7.24	
1nvs_protein	1nvs_ligand	7.210000	-9.840000	7.14	7.53	6.97	
1o0h_protein	1o0h_ligand	5.260000	-7.180000	5.24	5.47	5.08	
1o0f_protein	1o0f_ligand	4.990000	-6.800000	4.97	5.18	4.81	
1nw5_protein	1nw5_ligand	6.230000	-8.490000	6.22	6.39	6.06	
1o0m_protein	1o0m_ligand	5.370000	-7.320000	5.26	5.64	5.20	
1nw7_protein	1nw7_ligand	5.570000	-7.600000	5.57	5.64	5.51	
1o0n_protein	1o0n_ligand	4.970000	-6.780000	4.93	5.17	4.81	
1nz7_protein	1nz7_ligand	7.100000	-9.680000	6.99	7.33	6.96	
1o2h_protein	1o2h_ligand	6.290000	-8.570000	6.14	6.30	6.41	
1o2n_protein	1o2n_ligand	6.540000	-8.920000	6.27	6.72	6.64	
1o2o_protein	1o2o_ligand	6.160000	-8.400000	5.96	6.28	6.25	
1o2q_protein	1o2q_ligand	6.590000	-8.990000	6.37	6.63	6.76	
1m0o_protein	1m0o_ligand	6.610000	-9.010000	6.38	6.81	6.63	
1o2z_protein	1o2z_ligand	6.020000	-8.220000	6.03	5.98	6.07	
1o3d_protein	1o3d_ligand	6.330000	-8.630000	6.18	6.33	6.48	
1o3i_protein	1o3i_ligand	5.960000	-8.130000	5.77	6.08	6.03	
1o3l_protein	1o3l_ligand	5.850000	-7.970000	5.70	5.96	5.87	
1o5a_protein	1o5a_ligand	6.130000	-8.360000	6.04	6.02	6.34	
1o30_protein	1o30_ligand	6.210000	-8.480000	6.17	6.21	6.26	
1o5e_protein	1o5e_ligand	6.760000	-9.220000	6.53	6.88	6.88	
1o7o_protein	1o7o_ligand	6.330000	-8.630000	6.23	6.63	6.12	
1o33_protein	1o33_ligand	5.550000	-7.570000	5.46	5.58	5.61	
1o38_protein	1o38_ligand	6.190000	-8.440000	6.08	6.14	6.34	
1oar_protein	1oar_ligand	6.670000	-9.090000	6.98	6.94	6.08	
1oau_protein	1oau_ligand	5.570000	-7.600000	5.74	5.72	5.26	
1od8_protein	1od8_ligand	5.670000	-7.730000	5.54	5.96	5.50	
1ocq_protein	1ocq_ligand	5.670000	-7.740000	5.61	5.91	5.50	
1oba_protein	1oba_ligand	4.000000	-5.450000	4.01	4.10	3.87	
1lvu_protein	1lvu_ligand	5.660000	-7.720000	5.60	5.85	5.54	
1oe8_protein	1oe8_ligand	4.990000	-6.810000	4.88	5.16	4.93	
1ogx_protein	1ogx_ligand	6.520000	-8.890000	6.49	6.95	6.11	
1ogz_protein	1ogz_ligand	6.420000	-8.750000	6.33	6.90	6.02	
1ohr_protein	1ohr_ligand	8.340000	-11.380000	7.90	8.88	8.24	
1np0_protein	1np0_ligand	5.500000	-7.500000	5.43	5.57	5.50	
1oif_protein	1oif_ligand	5.210000	-7.110000	5.14	5.46	5.04	
1om1_protein	1om1_ligand	6.540000	-8.920000	6.83	6.61	6.17	
1n1m_protein	1n1m_ligand	5.380000	-7.340000	5.18	5.62	5.35	
1ony_protein	1ony_ligand	6.550000	-8.940000	6.53	6.77	6.36	
1onz_protein	1onz_ligand	6.350000	-8.670000	6.09	6.86	6.11	
1m0q_protein	1m0q_ligand	6.450000	-8.800000	6.29	6.60	6.47	
1ork_protein	1ork_ligand	7.060000	-9.640000	7.04	7.32	6.83	
1oss_protein	1oss_ligand	4.990000	-6.810000	4.95	4.93	5.10	
1ogg_protein	1ogg_ligand	6.460000	-8.810000	6.48	6.46	6.45	
1owe_protein	1owe_ligand	5.990000	-8.170000	5.84	5.86	6.27	
1oxr_protein	1oxr_ligand	4.960000	-6.770000	4.83	5.10	4.96	
1m0n_protein	1m0n_ligand	6.700000	-9.140000	6.65	6.70	6.74	
1nw4_protein	1nw4_ligand	5.590000	-7.620000	5.59	5.74	5.44	
1owh_protein	1owh_ligand	5.940000	-8.100000	5.86	5.79	6.16	
1oyq_protein	1oyq_ligand	6.430000	-8.760000	6.42	6.62	6.24	
1oyt_protein	1oyt_ligand	6.960000	-9.490000	6.87	7.01	7.01	
1kc7_protein	1kc7_ligand	4.730000	-6.460000	4.61	5.02	4.58	
1p19_protein	1p19_ligand	5.080000	-6.930000	5.05	5.27	4.92	
1os5_protein	1os5_ligand	6.900000	-9.410000	6.79	7.46	6.44	
1odi_protein	1odi_ligand	5.830000	-7.950000	5.75	6.06	5.68	
1pa9_protein	1pa9_ligand	5.490000	-7.490000	5.40	5.75	5.31	
1odj_protein	1odj_ligand	5.710000	-7.780000	5.65	5.90	5.56	
1p1n_protein	1p1n_ligand	5.650000	-7.710000	5.57	5.78	5.61	
1p1o_protein	1p1o_ligand	5.430000	-7.400000	5.30	5.71	5.26	
1n51_protein	1n51_ligand	7.000000	-9.550000	6.81	7.12	7.08	
1pb8_protein	1pb8_ligand	4.840000	-6.610000	4.71	5.13	4.69	
1pb9_protein	1pb9_ligand	4.870000	-6.640000	4.74	5.13	4.73	
1m5w_protein	1m5w_ligand	4.790000	-6.540000	4.74	4.83	4.80	
1ogd_protein	1ogd_ligand	4.940000	-6.730000	4.85	5.15	4.81	
1pph_protein	1pph_ligand	6.420000	-8.760000	6.15	6.86	6.26	
1ppc_protein	1ppc_ligand	6.850000	-9.350000	6.62	7.43	6.52	
1pme_protein	1pme_ligand	6.690000	-9.130000	6.56	7.28	6.25	
1pot_protein	1pot_ligand	5.140000	-7.010000	5.37	5.17	4.88	
1pbq_protein	1pbq_ligand	5.970000	-8.140000	5.69	6.43	5.79	
1ppk_protein	1ppk_ligand	7.070000	-9.650000	6.55	7.59	7.07	
1pro_protein	1pro_ligand	8.570000	-11.690000	8.35	9.56	7.79	
1ppl_protein	1ppl_ligand	7.910000	-10.790000	7.48	8.57	7.69	
1ppm_protein	1ppm_ligand	7.530000	-10.270000	7.20	8.26	7.13	
1pxn_protein	1pxn_ligand	6.510000	-8.880000	6.44	6.62	6.47	
1pyn_protein	1pyn_ligand	6.800000	-9.270000	6.57	7.48	6.35	
1pxp_protein	1pxp_ligand	6.690000	-9.130000	6.49	6.87	6.71	
1ppi_protein	1ppi_ligand	7.930000	-10.810000	7.88	8.27	7.63	
1pxo_protein	1pxo_ligand	6.240000	-8.510000	6.19	6.24	6.28	
1olu_protein	1olu_ligand	6.380000	-8.700000	6.36	6.37	6.40	
1pzp_protein	1pzp_ligand	5.830000	-7.950000	5.76	6.15	5.58	
1q7a_protein	1q7a_ligand	6.300000	-8.590000	6.01	6.81	6.09	
1pz5_protein	1pz5_ligand	5.990000	-8.180000	6.18	5.95	5.85	
1ols_protein	1ols_ligand	6.780000	-9.250000	6.73	6.81	6.81	
1pdz_protein	1pdz_ligand	4.120000	-5.620000	4.13	4.25	3.97	
1pzi_protein	1pzi_ligand	5.270000	-7.190000	5.09	5.77	4.96	
1q91_protein	1q91_ligand	6.490000	-8.850000	6.41	6.56	6.49	
1olx_protein	1olx_ligand	7.020000	-9.570000	6.94	7.08	7.04	
1q8t_protein	1q8t_ligand	5.810000	-7.920000	5.72	5.79	5.91	
1q8u_protein	1q8u_ligand	6.360000	-8.680000	6.32	6.66	6.11	
1pgp_protein	1pgp_ligand	4.770000	-6.500000	4.79	4.93	4.58	
1q8w_protein	1q8w_ligand	5.970000	-8.140000	5.97	6.26	5.67	
1q72_protein	1q72_ligand	5.800000	-7.910000	5.82	5.85	5.72	
1qb1_protein	1qb1_ligand	6.350000	-8.670000	6.24	6.72	6.10	
1qan_protein	1qan_ligand	6.310000	-8.610000	6.36	6.36	6.22	
1qb6_protein	1qb6_ligand	6.160000	-8.410000	6.11	6.38	6.00	
1qb9_protein	1qb9_ligand	6.940000	-9.470000	6.59	7.51	6.72	
1qbn_protein	1qbn_ligand	6.320000	-8.620000	6.23	6.60	6.13	
1phw_protein	1phw_ligand	4.170000	-5.690000	4.22	4.27	4.03	
1qbr_protein	1qbr_ligand	9.950000	-13.580000	9.63	11.14	9.09	
1qbo_protein	1qbo_ligand	6.650000	-9.080000	6.54	6.73	6.69	
1qbs_protein	1qbs_ligand	8.600000	-11.730000	8.39	9.71	7.69	
1qbt_protein	1qbt_ligand	10.650000	-14.530000	10.37	11.65	9.94	
1qbu_protein	1qbu_ligand	8.550000	-11.670000	8.29	9.33	8.04	
1qft_protein	1qft_ligand	4.740000	-6.460000	4.77	4.82	4.63	
1qhc_protein	1qhc_ligand	6.110000	-8.330000	6.23	6.17	5.92	
1q5k_protein	1q5k_ligand	5.410000	-7.380000	5.38	5.56	5.29	
1oz0_protein	1oz0_ligand	7.550000	-10.300000	7.53	7.99	7.13	
1qbv_protein	1qbv_ligand	6.560000	-8.940000	6.58	6.75	6.34	
1ql7_protein	1ql7_ligand	6.720000	-9.170000	6.63	6.77	6.78	
1ql9_protein	1ql9_ligand	7.010000	-9.560000	6.94	7.08	7.02	
1qaw_protein	1qaw_ligand	5.780000	-7.890000	5.69	5.89	5.77	
1qxk_protein	1qxk_ligand	6.340000	-8.650000	6.53	6.51	5.99	
1rbp_protein	1rbp_ligand	7.370000	-10.050000	7.55	7.25	7.29	
1r0p_protein	1r0p_ligand	8.080000	-11.030000	7.95	8.90	7.40	
1qyg_protein	1qyg_ligand	6.420000	-8.750000	6.39	6.61	6.26	
1pkx_protein	1pkx_ligand	6.730000	-9.190000	6.59	7.06	6.56	
1qkt_protein	1qkt_ligand	7.070000	-9.640000	7.11	7.43	6.67	
1rd4_protein	1rd4_ligand	7.110000	-9.700000	7.12	7.41	6.80	
1r9l_protein	1r9l_ligand	4.760000	-6.500000	4.72	4.94	4.63	
1rnt_protein	1rnt_ligand	5.330000	-7.270000	5.29	5.53	5.17	
1rnm_protein	1rnm_ligand	4.850000	-6.610000	4.86	4.95	4.73	
1rpf_protein	1rpf_ligand	5.180000	-7.060000	5.12	5.42	4.99	
1rjk_protein	1rjk_ligand	8.790000	-11.990000	8.88	9.02	8.47	
1qka_protein	1qka_ligand	7.120000	-9.710000	7.14	7.36	6.85	
1qkb_protein	1qkb_ligand	6.900000	-9.410000	6.79	7.14	6.76	
1rtf_protein	1rtf_ligand	5.050000	-6.890000	5.00	4.99	5.17	
1s19_protein	1s19_ligand	8.500000	-11.600000	8.53	8.79	8.19	
1sbg_protein	1sbg_ligand	8.220000	-11.210000	7.78	8.85	8.01	
1sdt_protein	1sdt_ligand	8.820000	-12.040000	8.72	9.15	8.60	
1sb1_protein	1sb1_ligand	7.090000	-9.670000	7.05	7.16	7.05	
1sdu_protein	1sdu_ligand	8.850000	-12.080000	8.59	9.42	8.56	
1sdv_protein	1sdv_ligand	8.610000	-11.750000	8.53	8.81	8.49	
1pr5_protein	1pr5_ligand	5.530000	-7.540000	5.50	5.66	5.43	
1sgu_protein	1sgu_ligand	8.350000	-11.400000	8.07	8.79	8.20	
1rql_protein	1rql_ligand	4.540000	-6.190000	4.43	4.71	4.49	
1sh9_protein	1sh9_ligand	7.510000	-10.250000	7.22	8.08	7.23	
1siv_protein	1siv_ligand	8.010000	-10.920000	7.57	8.62	7.83	
1qk3_protein	1qk3_ligand	5.740000	-7.830000	5.64	6.01	5.57	
1qk4_protein	1qk4_ligand	5.990000	-8.170000	5.85	6.31	5.81	
1sl3_protein	1sl3_ligand	7.250000	-9.890000	7.13	7.38	7.23	
1sqa_protein	1sqa_ligand	6.410000	-8.750000	6.33	6.36	6.55	
1sqo_protein	1sqo_ligand	6.010000	-8.200000	5.93	5.93	6.17	
1sqt_protein	1sqt_ligand	5.810000	-7.920000	5.85	5.74	5.84	
1sld_protein	1sld_ligand	6.600000	-9.010000	6.61	7.12	6.07	
1sv3_protein	1sv3_ligand	4.810000	-6.560000	4.74	5.05	4.63	
1q84_protein	1q84_ligand	9.690000	-13.220000	9.92	10.12	9.04	
1srg_protein	1srg_ligand	6.730000	-9.180000	6.74	6.90	6.56	
1pvn_protein	1pvn_ligand	6.220000	-8.480000	6.10	6.51	6.04	
1sw2_protein	1sw2_ligand	4.720000	-6.440000	4.70	4.88	4.59	
1stc_protein	1stc_ligand	8.000000	-10.910000	8.01	8.49	7.50	
1str_protein	1str_ligand	5.910000	-8.060000	6.00	6.05	5.69	
1sr7_protein	1sr7_ligand	8.510000	-11.610000	8.65	8.82	8.06	
1s5z_protein	1s5z_ligand	5.030000	-6.870000	5.10	5.14	4.87	
1swr_protein	1swr_ligand	5.980000	-8.150000	5.96	6.18	5.79	
1rr6_protein	1rr6_ligand	5.590000	-7.630000	5.59	5.76	5.43	
1t4v_protein	1t4v_ligand	6.480000	-8.840000	6.28	6.98	6.18	
1t7j_protein	1t7j_ligand	7.040000	-9.600000	6.90	7.28	6.93	
1swg_protein	1swg_ligand	5.540000	-7.550000	5.60	5.70	5.31	
1td7_protein	1td7_ligand	5.690000	-7.760000	5.55	6.16	5.37	
1t7d_protein	1t7d_ligand	6.620000	-9.020000	6.23	7.42	6.20	
1q1g_protein	1q1g_ligand	5.850000	-7.970000	5.85	5.98	5.71	
1s89_protein	1s89_ligand	4.780000	-6.520000	4.70	5.02	4.62	
1tcx_protein	1tcx_ligand	8.190000	-11.170000	7.80	8.81	7.96	
1t32_protein	1t32_ligand	8.460000	-11.530000	8.01	9.35	8.00	
1ta6_protein	1ta6_ligand	7.320000	-9.990000	7.10	7.57	7.29	
1syh_protein	1syh_ligand	6.220000	-8.480000	6.16	6.35	6.14	
1tnh_protein	1tnh_ligand	4.860000	-6.630000	4.80	4.86	4.91	
1tng_protein	1tng_ligand	4.860000	-6.630000	4.77	4.77	5.05	
1tni_protein	1tni_ligand	4.920000	-6.710000	4.85	4.88	5.03	
1syi_protein	1syi_ligand	6.270000	-8.550000	6.21	6.45	6.14	
1u1b_protein	1u1b_ligand	5.860000	-7.990000	5.96	5.98	5.64	
1tom_protein	1tom_ligand	6.780000	-9.250000	6.72	6.95	6.67	
1tx7_protein	1tx7_ligand	5.170000	-7.050000	5.10	5.22	5.18	
1trd_protein	1trd_ligand	4.560000	-6.220000	4.52	4.74	4.41	
1u71_protein	1u71_ligand	5.990000	-8.170000	6.02	6.16	5.78	
1tpw_protein	1tpw_ligand	4.900000	-6.680000	4.79	5.16	4.73	
1tq4_protein	1tq4_ligand	6.040000	-8.240000	5.93	6.34	5.85	
1ui0_protein	1ui0_ligand	4.850000	-6.610000	4.78	5.00	4.77	
1uj5_protein	1uj5_ligand	5.110000	-6.970000	5.06	5.34	4.92	
1u1w_protein	1u1w_ligand	5.730000	-7.810000	5.62	6.00	5.56	
1ua4_protein	1ua4_ligand	5.830000	-7.950000	5.80	6.02	5.67	
1u33_protein	1u33_ligand	6.340000	-8.640000	6.33	6.54	6.14	
1tsy_protein	1tsy_ligand	5.450000	-7.430000	5.35	5.69	5.31	
1ugx_protein	1ugx_ligand	4.850000	-6.610000	4.86	5.04	4.64	
1utj_protein	1utj_ligand	4.830000	-6.590000	4.78	4.77	4.94	
1utl_protein	1utl_ligand	4.680000	-6.390000	4.64	4.53	4.88	
1t5f_protein	1t5f_ligand	4.660000	-6.350000	4.64	4.69	4.64	
1utm_protein	1utm_ligand	4.610000	-6.290000	4.56	4.50	4.76	
1utn_protein	1utn_ligand	4.890000	-6.670000	4.81	4.83	5.03	
1uto_protein	1uto_ligand	4.690000	-6.400000	4.66	4.60	4.83	
1ucn_protein	1ucn_ligand	5.350000	-7.290000	5.34	5.53	5.17	
1uvt_protein	1uvt_ligand	6.800000	-9.270000	6.80	7.01	6.57	
1uwf_protein	1uwf_ligand	5.380000	-7.340000	5.22	5.76	5.16	
1usi_protein	1usi_ligand	6.080000	-8.290000	6.11	6.32	5.80	
1uou_protein	1uou_ligand	5.570000	-7.600000	5.40	5.68	5.63	
1upf_protein	1upf_ligand	4.330000	-5.910000	4.31	4.47	4.21	
1tjp_protein	1tjp_ligand	6.170000	-8.420000	6.12	6.43	5.95	
1uz1_protein	1uz1_ligand	5.320000	-7.260000	5.25	5.57	5.14	
1uz8_protein	1uz8_ligand	6.060000	-8.260000	5.93	6.20	6.03	
1uz4_protein	1uz4_ligand	5.210000	-7.100000	5.15	5.44	5.03	
1v0k_protein	1v0k_ligand	5.460000	-7.450000	5.37	5.71	5.31	
1v0l_protein	1v0l_ligand	5.560000	-7.580000	5.43	5.85	5.39	
1ur9_protein	1ur9_ligand	7.450000	-10.160000	7.26	7.65	7.45	
1v2j_protein	1v2j_ligand	5.080000	-6.930000	4.98	5.02	5.25	
1u0g_protein	1u0g_ligand	5.020000	-6.840000	4.93	5.29	4.84	
1v2k_protein	1v2k_ligand	6.950000	-9.480000	6.91	6.99	6.96	
1ssq_protein	1ssq_ligand	4.440000	-6.060000	4.31	4.53	4.49	
1v2l_protein	1v2l_ligand	5.060000	-6.910000	5.00	5.00	5.19	
1uv6_protein	1uv6_ligand	4.430000	-6.050000	4.49	4.51	4.29	
1v2n_protein	1v2n_ligand	6.900000	-9.420000	6.79	7.12	6.80	
1thz_protein	1thz_ligand	6.150000	-8.380000	5.96	6.49	5.99	
1v2r_protein	1v2r_ligand	5.370000	-7.330000	5.28	5.45	5.39	
1v2o_protein	1v2o_ligand	5.320000	-7.260000	5.17	5.72	5.09	
1v2s_protein	1v2s_ligand	5.070000	-6.920000	4.99	5.02	5.20	
1v2t_protein	1v2t_ligand	5.320000	-7.260000	5.16	5.70	5.11	
1v2u_protein	1v2u_ligand	5.080000	-6.930000	5.00	5.03	5.21	
1v2w_protein	1v2w_ligand	5.340000	-7.280000	5.18	5.73	5.10	
1vyf_protein	1vyf_ligand	5.790000	-7.900000	5.66	6.30	5.41	
1vyg_protein	1vyg_ligand	6.610000	-9.020000	6.63	6.99	6.20	
1uw6_protein	1uw6_ligand	5.560000	-7.580000	5.64	5.72	5.31	
1w0z_protein	1w0z_ligand	6.190000	-8.440000	6.03	6.37	6.17	
1vzq_protein	1vzq_ligand	7.170000	-9.780000	7.11	7.29	7.10	
1w4p_protein	1w4p_ligand	5.150000	-7.020000	5.09	5.29	5.07	
1w4o_protein	1w4o_ligand	5.310000	-7.240000	5.19	5.59	5.14	
1w3k_protein	1w3k_ligand	5.620000	-7.660000	5.52	5.88	5.45	
1w3l_protein	1w3l_ligand	6.010000	-8.200000	5.95	6.27	5.82	
1w4q_protein	1w4q_ligand	5.280000	-7.200000	5.24	5.43	5.16	
1rp7_protein	1rp7_ligand	6.650000	-9.080000	6.64	6.66	6.66	
1vso_protein	1vso_ligand	5.650000	-7.700000	5.46	5.94	5.54	
1w5v_protein	1w5v_ligand	9.510000	-12.970000	9.50	9.92	9.11	
1w5w_protein	1w5w_ligand	9.490000	-12.950000	9.43	9.97	9.08	
1w5x_protein	1w5x_ligand	9.450000	-12.890000	9.54	9.69	9.13	
1w5y_protein	1w5y_ligand	9.350000	-12.760000	9.23	9.94	8.89	
1w3j_protein	1w3j_ligand	5.140000	-7.000000	5.01	5.40	4.99	
1w7g_protein	1w7g_ligand	5.970000	-8.150000	5.99	6.17	5.76	
1w13_protein	1w13_ligand	6.560000	-8.950000	6.45	6.67	6.57	
1w11_protein	1w11_ligand	6.410000	-8.740000	6.39	6.34	6.49	
1usk_protein	1usk_ligand	5.480000	-7.470000	5.38	5.70	5.36	
1tkb_protein	1tkb_ligand	6.740000	-9.200000	6.80	6.80	6.63	
1wdn_protein	1wdn_ligand	5.360000	-7.320000	5.32	5.54	5.22	
1w9u_protein	1w9u_ligand	6.670000	-9.100000	6.67	6.78	6.57	
1w9v_protein	1w9v_ligand	6.440000	-8.780000	6.34	6.82	6.16	
1wc1_protein	1wc1_ligand	5.660000	-7.720000	5.65	5.87	5.46	
1wm1_protein	1wm1_ligand	6.030000	-8.230000	5.61	6.41	6.08	
1x1z_protein	1x1z_ligand	6.360000	-8.680000	6.18	6.73	6.18	
1ws4_protein	1ws4_ligand	4.720000	-6.430000	4.68	4.89	4.57	
1w96_protein	1w96_ligand	7.930000	-10.810000	7.61	8.75	7.43	
1x8t_protein	1x8t_ligand	6.780000	-9.240000	6.55	7.19	6.59	
1wvj_protein	1wvj_ligand	6.370000	-8.690000	6.35	6.49	6.26	
1xap_protein	1xap_ligand	8.890000	-12.130000	9.05	9.44	8.19	
1wcq_protein	1wcq_ligand	5.560000	-7.580000	5.48	5.70	5.49	
1xbo_protein	1xbo_ligand	7.010000	-9.570000	6.97	7.65	6.42	
1wht_protein	1wht_ligand	5.760000	-7.850000	5.83	5.83	5.61	
1xgi_protein	1xgi_ligand	5.550000	-7.570000	5.41	5.82	5.42	
1x8j_protein	1x8j_ligand	6.700000	-9.140000	6.58	7.12	6.40	
1x38_protein	1x38_ligand	6.500000	-8.870000	6.39	6.77	6.34	
1xh4_protein	1xh4_ligand	8.390000	-11.450000	8.42	8.56	8.20	
1xff_protein	1xff_ligand	5.210000	-7.100000	5.10	5.39	5.14	
1xh5_protein	1xh5_ligand	8.600000	-11.720000	8.47	9.04	8.27	
1xk5_protein	1xk5_ligand	5.100000	-6.960000	5.26	5.16	4.88	
1xh9_protein	1xh9_ligand	8.490000	-11.580000	8.47	8.69	8.32	
1xd0_protein	1xd0_ligand	7.890000	-10.770000	7.83	8.27	7.59	
1xk9_protein	1xk9_ligand	5.860000	-7.990000	6.00	5.98	5.60	
1x39_protein	1x39_ligand	6.270000	-8.550000	6.08	6.53	6.21	
